,author,contribution
1792,charles_f_preston,0.0315366446052
2319,cyrus_townsend_brady,0.0315203449487
8134,lon_tolst,0.0315109701765
4250,frederick_palmer,0.0314531310923
8646,martin_farquhar_tupper,0.0314291063864
2839,edith_nesbit_bland,0.0313990359897
8725,mary_elizabeth_braddon,0.0313476871324
7859,l_m_louisa_may_alcott,0.0313227042043
1057,august_strindberg,0.0312769762588
3407,emily_frances_adeline_sergeant,0.0312546309115
9515,owen_wister,0.0311975919922
7912,laura_elizabeth_howe_richards,0.0311338356387
9525,p_g_pelham_grenville_wodehouse,0.0311179706397
10321,robert_smythe_hichens,0.0309317001406
2765,e_werner,0.030918927137
1820,charles_grant_blairfindie_allen,0.0308463887261
10233,robert_g_robert_green_ingersoll,0.0308201709756
9889,r_nouchette_rosa_nouchette_carey,0.0307924714381
9448,oliver_optic,0.0307813876716
8167,louis_creswicke,0.030744876441
6259,j_s_joseph_smith_fletcher,0.0307020824337
10279,robert_leighton,0.0306750941539
10076,richard_doddridge_blackmore,0.0305918276055
7860,l_m_lucy_maud_montgomery,0.0305588035135
5011,guy_boothby,0.0305330895705
3055,edward_s_edward_sylvester_ellis,0.0304822543993
2671,e_d_e_n_southworth,0.0304727808413
11722,w_h_william_hickling_prescott,0.0304710323327
2585,dorothy_canfield,0.0304706865824
6264,j_sheridan_le_fanu,0.0304557798056
11309,thomas_nelson_page,0.0303891784212
11502,upton_beall_sinclair,0.0303433615685
11912,walter_whitman,0.0302734311027
8427,major_john_richardson,0.030266654397
10698,sarah_orne_jewett,0.0301913499838
12496,william_tecumseh_sherman,0.0301756035277
2695,e_f_edward_frederic_benson,0.0301336689568
3778,felix_dahn,0.0301045073895
3792,ferguson_wright_hume,0.0300043781055
907,arnold_henry_savage_landor,0.0299350008402
9447,oliver_onions,0.0298189571643
2900,education_ontario_ministry_of_education,0.0297890448249
6375,james_bayard_taylor,0.0297597252003
7312,john_richardson,0.0297371822814
8136,lord_acton,0.0297165953213
7845,l_frank_lyman_frank_baum,0.0297080108355
4771,george_washington_williams,0.0296981520129
10827,sir_leslie_stephen,0.0296813781846
9944,ralph_connor,0.029641152608
8552,marianne,0.029594308383
6539,james_matthew_barrie,0.029585210211
10963,susan_bogert_warner,0.0295440659265
1877,charles_kingley,0.0295428409826
11908,walter_thornbury,0.0295106960842
9496,otto_jahn,0.0294896843452
12456,william_rounseville_alger,0.0294477991672
10040,rhoda_broughton,0.02943407782
9672,percy_james_brebner,0.0294301461452
7568,joseph_smith_fletcher,0.0294271825713
3345,ellis_parker_butler,0.0294186079641
882,archibald_marshall,0.029367466557
2019,charles_william_gordon,0.0292995315642
827,anthony_edward_montagu_compton_mackenzie,0.0292981386845
7343,john_sherman,0.0292795373189
3145,elbert_hubbard,0.0292583774012
1781,charles_egbert_craddock,0.0292300950274
11131,theophilus_cibber,0.0291957570843
11073,talbot_mundy,0.0289837528851
4678,george_p_george_perkins_marsh,0.0289638475469
6213,j_m_james_matthew_barrie,0.0289006246368
3883,frances_eliza_hodgson,0.0288991922427
5910,hungerford_duchess,0.0288766295666
3183,elinor_sutherland_glyn,0.0288691416032
96,a_m_alice_muriel_williamson,0.028855983335
586,alphonse_daudet,0.0288229691216
7936,lawrence_h_lawrence_herbert_davison,0.0287484253591
4366,g_harvey_george_harvey_ralphson,0.0287433477691
3454,emmuska_orczy_orczy,0.0287122796359
1017,arthur_scott_bailey,0.0287059474663
10628,samuel_rawson_gardiner,0.0286901614959
11925,warner_fabian,0.0286792654225
1976,charles_sturt,0.0286713823159
6822,johann_christoph_friedrich_von_schiller,0.0286637856881
134,a_t_arthur_thomas_quillercouch,0.0285394835195
5030,h_b_harriet_beecher_stowe,0.0285257522937
9615,paul_leicester_ford,0.028508188179
2538,dillon_wallace,0.028466303001
1304,bertha_muzzy_sinclair,0.0284540634407
488,alfred_thayer_mahan,0.0284532731543
2999,edward_john_eyre,0.0283115846855
5723,herbert_spencer,0.0283030298355
3428,emma_d_e_n_southworth,0.0282572524971
698,andy_adams,0.0282545062519
9340,newton_booth_tarkington,0.0282357567076
5938,ida_husted_harper,0.0281935356579
5896,hugh_walpole,0.0281710124961
12472,william_somerset_maugham,0.0280982567565
12320,william_j_william_joseph_long,0.0280324851728
4384,g_p_r_george_payne_rainsford_james,0.0280309935073
12554,willis_fletcher_johnson,0.0279888811219
1132,b_m_bertha_muzzy_sinclair,0.0278347950355
8329,m_d_moncure_daniel_conway,0.0278314165613
560,allan_pinkerton,0.0278016326434
2494,dealva_stanwood_alexander,0.0277948065448
8137,lord_byron,0.0277121228326
8488,margaret_pedler,0.0277112633962
117,a_r_alfred_russel_wallace,0.0276518931321
8270,luigi_antonio_lanzi,0.0276282339337
7722,karl_ritter_von_scherzer,0.0276109661763
11279,thomas_jefferson_ritter,0.0275329550323
4150,franz_liszt,0.027499209804
10984,sven_anders_hedin,0.0274839177626
11301,thomas_moore,0.0274808949172
11503,upton_sinclair,0.0274660276547
4604,george_henry_borrow,0.0274151727264
7451,jonathan_slick,0.0273641597407
8176,louis_ginzberg,0.0273390780268
